T   Cp    eta    lambda_prime  lambda_double_prime  lambda
100     3.986   50.9      1.5       0.8       2.3
200     4.337   92.7      2.7       1.8       4.5
300     4.437   137.6     4.0       2.8       6.8
400     4.479   184.5     5.4       3.8       9.2
500     4.503   230.9     6.8       4.8       11.6
600     4.519   276.2     8.1       5.8       13.9
700     4.531   319.8     9.4       6.7       16.1
800     4.542   361.3     10.6      7.6       18.2
900     4.551   400.8     11.8      8.5       20.3
1000    4.560   438.4     12.9      9.3       22.2

1100    4.568   474.4     13.9      10.1      24.1
1200    4.575   509.1     14.9      10.9      25.9
1300    4.583   542.4     15.9      11.7      27.6
1400    4.590   574.6     16.9      12.4      29.3
1500    4.598   605.7     17.8      13.1      30.9
1600    4.605   636.0     18.7      13.8      32.5
1700    4.612   665.3     19.5      14.5      34.1
1800    4.619   693.8     20.4      15.2      35.6
1900    4.626   721.6     21.2      15.9      37.0
2000    4.633   748.8     22.0      16.5      38.5

2100    4.640   775.2     22.8      17.1      39.9
2200    4.647   801.1     23.5      17.8      41.3
2300    4.654   826.3     24.3      18.4      42.7
2400    4.661   851.1     25.0      19.0      44.0
2500    4.667   875.4     25.7      19.6      45.3
2600    4.674   899.3     26.4      20.2      46.6
2700    4.681   922.9     27.1      20.8      47.9
2800    4.688   946.1     27.8      21.4      49.2
2900    4.695   969.0     28.4      22.0      50.4
3000    4.702   991.6     29.1      22.6      51.7

3100    4.708   1013.8    29.8      23.1      52.9
3200    4.715   1035.8    30.4      23.7      54.1
3300    4.722   1057.5    31.0      24.3      55.3
3400    4.729   1078.9    31.7      24.9      56.5
3500    4.735   1100.1    32.3      25.4      57.7
3600    4.742   1121.0    32.9      26.0      58.9
3700    4.749   1141.6    33.5      26.5      60.1
3800    4.756   1162.1    34.1      27.1      61.2
3900    4.763   1182.2    34.7      27.6      62.4
4000    4.769   1202.2    35.3      28.2      63.5

4100    4.776   1221.9    35.9      28.7      64.6
4200    4.783   1241.4    36.4      29.3      65.7
4300    4.790   1260.6    37.0      29.8      66.8
4400    4.796   1279.7    37.6      30.4      67.9
4500    4.803   1298.6    38.1      30.9      69.0
4600    4.810   1317.3    38.7      31.4      70.1
4700    4.817   1335.8    39.2      32.0      71.2
4800    4.823   1354.1    39.8      32.5      72.3
4900    4.830   1372.3    40.3      33.0      73.3
5000    4.837   1390.3    40.8      33.6      74.4
