T   Cp    eta   lambda_prime    lambda_double_prime   lambda
100     2.500   69.7        4.1         0.0         4.1
200     2.500   139.8       8.2         0.0         8.2
300     2.500   201.7       12.2        0.0         12.2
400     2.500   269.6       15.8        0.0         15.8
500     2.500   325.0       19.1        0.0         19.1
600     2.500   375.7       22.1        0.0         22.1
700     2.500   424.7       24.8        0.0         24.8
800     2.500   466.6       27.4        0.0         27.4
900     2.500   508.1       29.8        0.0         29.8
1000    2.501   547.3       32.1        0.0         32.2

1100    2.502   584.7       34.3        0.0         34.4
1200    2.505   620.7       36.4        0.1         36.5
1300    2.508   655.5       38.5        0.2         38.6
1400    2.512   689.3       40.5        0.3         40.7
1500    2.516   722.1       42.5        0.4         42.7
1600    2.520   754.0       44.3        0.4         44.7
1700    2.525   785.0       46.1        0.5         46.6
1800    2.533   815.2       47.9        0.7         48.6
1900    2.542   844.9       49.6        0.9         50.5
2000    2.563   873.4       51.3        1.1         52.4

2100    2.585   901.5       52.9        1.4         54.3
2200    2.594   929.0       54.6        1.6         56.2
2300    2.608   955.0       56.1        1.9         58.0
2400    2.608   982.5       57.7        2.2         59.9
2500    2.619   982.5       59.2        2.5         61.7
2600    2.630   1008.5      60.9        2.8         63.5
2700    2.640   1034.2      62.2        3.1         65.3
2800    2.650   1059.5      63.7        3.4         67.1
2900    2.660   1084.6      65.1        3.7         68.8
3000    2.669   1109.4      66.6        4.0         70.6
3100    2.677   1134.1      68.0        4.2         72.3

3200    2.685   1158.7      69.5        4.5         74.0
3300    2.692   1183.2      70.9        4.8         75.7
3400    2.699   1207.7      72.3        5.1         77.4
3500    2.705   1232.0      73.7        5.3         79.1
3600    2.711   1255.6      75.1        5.6         80.7
3700    2.716   1279.0      76.5        5.8         82.3
3800    2.720   1302.1      77.8        6.0         83.8
3900    2.724   1325.0      79.1        6.2         85.4
4000    2.728   1347.6      80.5        6.4         86.9
4100    2.731   1370.1      81.8        6.6         88.4

4200    2.733   1392.3      83.1        6.8         89.9
4300    2.735   1414.3      84.3        7.0         91.3
4400    2.738   1436.1      85.6        7.1         92.7
4500    2.740   1457.8      86.8        7.4         94.2
4600    2.740   1479.2      88.1        7.6         95.5
4700    2.740   1500.5      89.3        7.6         96.9
4800    2.740   1521.6      90.6        7.6         98.3
4900    2.740   1542.5      91.8        7.8         99.6
5000    2.741   1563.3      93.0        7.9         100.9
