T   Cp    eta    lambda_prime  lambda_double_prime  lambda
100     3.500   72.4      19.3      6.8       26.0
200     3.501   131.3     34.9      12.3      47.2
300     3.503   177.7     47.3      16.7      63.9
400     3.518   217.2     57.8      20.7      78.5
500     3.540   252.0     67.2      24.6      92.2
600     3.578   285.4     75.9      30.0      105.9
700     3.699   315.6     83.9      35.4      119.4
800     3.781   344.0     91.5      41.2      132.7
900     3.860   371.0     98.5      47.2      145.7
1000    3.922   397.1     105.6     53.2      158.9

1100    3.998   422.7     112.4     59.3      171.7
1200    4.056   447.8     119.1     65.2      184.3
1300    4.107   471.8     125.5     71.0      196.4
1400    4.151   495.2     131.7     76.5      208.2
1500    4.190   517.9     137.7     81.9      219.7
1600    4.224   540.1     143.6     87.2      230.8
1700    4.254   561.7     149.4     92.2      241.6
1800    4.281   582.9     155.0     97.2      252.2
1900    4.304   603.7     160.6     102.0     262.5
2000    4.325   624.0     166.0     106.6     272.6

2100    4.344   644.0     171.3     111.2     282.4
2200    4.360   663.7     176.5     115.6     292.1
2300    4.375   683.0     181.7     119.9     301.6
2400    4.389   702.1     186.7     124.2     310.9
2500    4.401   720.8     191.7     128.3     320.0
2600    4.413   739.3     196.6     132.4     329.0
2700    4.423   757.5     201.5     136.4     337.9
2800    4.433   775.5     206.3     140.3     346.6
2900    4.442   793.4     211.0     144.2     355.2
3000    4.450   810.8     215.6     148.0     363.6

3100    4.457   828.1     220.2     151.8     372.0
3200    4.464   845.2     224.8     155.5     380.3
3300    4.471   862.2     229.3     159.1     388.4
3400    4.477   879.0     233.8     162.7     396.5
3500    4.483   895.5     238.2     166.3     404.5
3600    4.489   912.0     242.5     169.8     412.3
3700    4.494   928.2     246.9     173.3     420.2
3800    4.499   944.3     251.2     176.7     427.9
3900    4.504   960.3     255.4     180.1     435.5
4000    4.508   976.1     259.6     183.5     443.1

4100    4.513   991.7     263.8     186.9     450.6
4200    4.517   1007.3    267.9     190.2     458.1
4300    4.521   1022.7    272.0     193.5     465.5
4400    4.525   1037.9    276.1     196.7     472.8
4500    4.528   1053.1    280.1     200.0     480.1
4600    4.532   1068.1    284.1     203.2     487.3
4700    4.535   1083.0    288.0     206.4     494.4
4800    4.539   1097.8    292.0     209.5     501.5
4900    4.542   1112.5    295.9     212.7     508.6
5000    4.545   1127.1    299.8     215.8     515.6
