T   Cp    eta   lambda_prime    lambda_double_prime   lambda
100     2.500   67.9      36.1      0.0       36.1
200     2.500   123.1     65.5      0.0       65.5
300     2.500   166.6     88.6      0.0       88.6
400     2.500   203.7     108.4     0.0       108.4
500     2.500   237.0     126.1     0.0       126.1
600     2.500   267.0     142.4     0.0       142.4
700     2.500   296.0     157.5     0.0       157.5
800     2.500   322.6     171.6     0.0       171.6
900     2.500   347.9     185.1     0.0       185.1
1000    2.500   372.3     198.1     0.0       198.1
1100    2.500   396.4     210.9     0.0       210.9
1200    2.500   419.9     223.4     0.0       223.4
1300    2.500   442.4     235.4     0.0       235.4
1400    2.500   464.2     247.0     0.0       247.0
1500    2.500   485.6     258.4     0.0       258.4
1600    2.500   506.4     269.4     0.0       269.4
1700    2.500   526.7     280.2     0.0       280.2
1800    2.500   546.6     290.8     0.0       290.8
1900    2.500   566.1     301.1     0.0       301.1
2000    2.500   585.2     311.3     0.0       311.4
2100    2.501   603.9     321.3     0.1       321.4
2200    2.501   622.4     331.1     0.2       331.3
2300    2.502   640.5     340.7     0.3       341.0
2400    2.503   658.3     350.2     0.4       350.6
2500    2.505   675.9     359.6     0.6       360.2
2600    2.507   693.2     368.8     0.9       369.7
2700    2.509   710.2     377.9     1.2       379.1
2800    2.511   727.2     386.9     1.7       388.6
2900    2.513   743.8     395.7     2.3       398.0
3000    2.521   760.3     404.5     3.0       407.5
3100    2.527   776.5     413.1     3.9       417.0
3200    2.533   792.6     421.7     5.0       426.6
3300    2.541   808.5     430.1     6.2       436.3
3400    2.549   824.2     438.4     7.0       446.1
3500    2.559   839.7     446.7     9.3       456.0
3600    2.570   855.1     454.9     11.2      466.1
3700    2.581   870.4     463.0     13.3      476.3
3800    2.594   885.5     471.1     15.6      486.7
3900    2.606   900.4     479.0     18.2      497.3
4000    2.623   915.3     486.9     21.1      508.0
4100    2.639   929.9     494.7     24.2      518.9
4200    2.656   944.5     502.5     27.6      530.1
4300    2.674   958.9     510.2     31.2      541.4
4400    2.693   973.3     517.8     35.1      552.9
4500    2.712   987.5     525.3     39.3      564.6
4600    2.733   1001.6    532.8     43.7      576.5
4700    2.754   1015.6    540.3     48.3      588.6
4800    2.776   1029.4    547.7     53.2      600.9
4900    2.799   1043.2    555.0     58.3      613.3
5000    2.822   1056.9    562.3     63.7      625.9
