T   Cp    eta    lambda_prime  lambda_double_prime  lambda
100     3.501   76.6      17.8      6.3       24.1
200     3.503   147.9     34.4      12.2      46.6
300     3.534   206.4     49.1      17.5      65.6
400     3.597   257.6     62.7      22.6      83.3
500     3.621   304.0     70.1      30.0      100.7
600     3.860   319.6     79.5      37.3      117.6
700     3.967   379.1     88.3      45.6      133.9
800     4.053   414.8     96.6      53.9      149.5
900     4.132   448.5     104.4     60.0      164.4
1000    4.194   480.6     111.9     66.7      178.6

1100    4.246   511.2     119.1     73.2      192.2
1200    4.290   540.6     125.9     79.3      205.2
1300    4.328   568.5     132.5     85.3      217.8
1400    4.363   596.8     139.0     91.2      230.1
1500    4.425   624.0     145.3     97.1      242.3
1600    4.455   650.9     151.4     102.8     254.3
1700    4.455   677.8     157.8     108.6     266.5
1800    4.483   703.7     163.9     114.4     278.3
1900    4.511   729.0     169.8     120.2     290.0
2000    4.539   753.8     175.6     126.0     301.6

2100    4.567   778.2     181.2     131.8     313.1
2200    4.594   802.1     186.8     137.4     324.5
2300    4.621   825.9     192.3     143.2     335.8
2400    4.647   848.7     197.7     149.4     347.0
2500    4.673   871.5     203.0     155.3     358.2
2600    4.699   894.0     208.2     161.0     369.2
2700    4.724   916.1     213.3     167.0     380.3
2800    4.748   937.9     218.4     172.8     391.3
2900    4.771   959.5     223.4     178.7     402.1
3000    4.794   980.7     228.4     184.4     412.8

3100    4.816   1001.7    233.3     190.2     423.5
3200    4.837   1022.5    238.1     195.9     434.0
3300    4.858   1043.0    242.9     201.6     444.5
3400    4.877   1063.4    247.6     207.2     454.8
3500    4.897   1083.4    252.2     212.8     465.1
3600    4.913   1103.3    256.9     218.3     475.2
3700    4.930   1123.0    261.5     223.7     485.2
3800    4.945   1142.3    266.0     229.1     495.2
3900    4.961   1161.5    270.6     234.4     505.0
4000    4.976   1181.0    275.0     239.7     514.7

4100    4.989   1199.4    279.4     244.9     524.3
4200    4.002   1218.7    283.8     250.0     533.8
4300    5.015   1237.4    288.2     255.1     543.2
4400    5.026   1255.9    292.5     260.1     552.5
4500    5.037   1274.2    296.7     265.0     561.8
4600    5.048   1292.4    301.0     270.0     570.9
4700    5.058   1310.4    305.2     274.8     580.0
4800    5.068   1328.4    309.3     279.7     589.0
4900    5.078   1363.2    313.5     284.5     597.9
5000    5.087   1363.8    317.6     289.2     606.8
