T   Cp    eta    lambda_prime  lambda_double_prime  lambda
100     2.851   70.0      32.6      4.0       36.6
200     2.734   135.1     62.9      5.2       68.1
300     2.684   188.6     87.8      4.1       92.0
400     2.534   234.4     109.2     3.2       112.4
500     2.527   275.0     128.1     2.6       130.6
600     2.521   311.9     145.3     2.1       147.4
700     2.517   346.4     161.3     1.7       163.1
800     2.514   379.0     176.5     1.5       178.0
900     2.516   409.8     190.9     1.3       192.1
1000    2.516   439.1     204.5     1.1       205.6

1100    2.513   467.1     217.5     1.0       218.5
1200    2.511   494.0     230.1     0.9       231.0
1300    2.509   520.0     242.2     0.8       243.0
1400    2.508   545.5     254.0     0.7       254.7
1500    2.507   570.2     265.4     0.7       266.2
1600    2.506   594.7     276.4     0.6       277.6
1700    2.506   619.3     288.4     0.6       289.0
1800    2.506   642.9     298.4     0.6       300.0
1900    2.505   666.1     310.2     0.6       310.8
2000    2.505   688.8     320.8     0.5       321.3

2100    2.505   711.0     331.2     0.6       331.7
2200    2.505   732.9     341.3     0.6       342.0
2300    2.506   754.3     351.3     0.7       352.0
2400    2.507   775.5     361.2     0.8       362.0
2500    2.508   796.3     370.9     1.0       371.9
2600    2.509   816.8     380.4     1.2       381.7
2700    2.511   837.0     389.8     1.5       391.3
2800    2.513   856.9     399.1     1.8       401.0
2900    2.515   876.6     408.3     2.2       410.5
3000    2.518   896.1     417.4     2.7       420.0

3100    2.521   915.3     426.3     3.2       429.5
3200    2.525   934.2     435.1     3.8       438.9
3300    2.528   953.0     443.9     4.4       448.3
3400    2.532   971.6     452.5     5.2       457.7
3500    2.537   989.9     461.1     6.0       467.0
3600    2.541   1008.1    469.5     6.8       476.4
3700    2.546   1026.1    477.9     7.8       485.7
3800    2.551   1043.9    486.2     8.8       495.0
3900    2.557   1061.5    494.4     9.9       504.3
4000    2.562   1079.0    502.6     11.0      513.6

4100    2.568   1096.4    510.6     12.2      522.8
4200    2.573   1113.5    518.6     13.4      532.1
4300    2.579   1130.6    526.6     14.7      541.3
4400    2.585   1147.5    534.4     16.0      550.5
4500    2.591   1164.2    542.2     17.4      559.7
4600    2.597   1180.8    550.0     18.9      568.8
4700    2.603   1197.3    557.7     20.3      578.0
4800    2.610   1213.7    565.3     21.8      587.1
4900    2.616   1229.9    572.9     23.3      596.2
5000    2.622   1246.1    580.4     24.9      605.3
