T   Cp    eta   lambda_prime    lambda_double_prime   lambda
100     2.500   80.1        4.5         0.0         4.5
200     2.500   160.8       9.1         0.0         9.1
300     2.500   230.1       13.0        0.0         13.0
400     2.500   309.1       17.5        0.0         17.5
500     2.500   372.4       21.1        0.0         21.1
600     2.500   430.2       24.4        0.0         24.4
700     2.500   484.0       27.4        0.0         27.4
800     2.500   533.8       30.3        0.0         30.3
900     2.500   581.1       33.0        0.0         33.0
1000    2.500   625.8       35.5        0.0         35.5

1100    2.500   668.4       37.9        0.0         37.9
1200    2.500   709.5       40.3        0.0         40.3
1300    2.500   749.2       42.5        0.0         42.5
1400    2.500   787.8       44.7        0.0         44.7
1500    2.500   825.2       46.8        0.0         46.8
1600    2.500   861.5       48.9        0.0         48.9
1700    2.500   896.9       50.9        0.0         50.9
1800    2.500   931.4       52.9        0.0         52.9
1900    2.500   964.9       54.8        0.0         54.8
2000    2.500   997.7       56.6        0.0         56.6

2100    2.500   1029.8      58.4        0.0         58.4
2200    2.500   1061.1      60.2        0.0         60.2
2300    2.500   1091.9      62.0        0.0         62.0
2400    2.500   1122.1      63.7        0.0         63.7
2500    2.500   1151.8      65.4        0.0         65.4
2600    2.500   1181.2      67.0        0.0         67.0
2700    2.500   1210.2      68.6        0.0         68.6
2800    2.500   1238.8      70.3        0.0         70.3
2900    2.500   1267.3      71.9        0.0         71.9
3000    2.500   1295.6      73.5        0.0         73.5

3100    2.500   1323.8      75.1        0.0         75.1
3200    2.500   1352.0      76.7        0.0         76.7
3300    2.500   1380.1      78.3        0.0         78.3
3400    2.500   1408.3      79.9        0.0         79.9
3500    2.500   1434.4      81.4        0.0         81.4
3600    2.500   1461.1      82.9        0.0         82.9
3700    2.500   1487.5      84.4        0.0         84.4
3800    2.500   1513.6      85.9        0.0         85.9
3900    2.500   1539.5      87.4        0.0         87.4
4000    2.500   1565.1      88.8        0.0         88.8

4100    2.500   1590.5      90.3        0.0         90.3
4200    2.500   1615.6      91.7        0.0         91.7
4300    2.500   1640.5      93.1        0.0         93.1
4400    2.500   1665.2      94.5        0.0         94.5
4500    2.500   1689.7      95.9        0.0         95.9
4600    2.500   1714.0      97.2        0.0         97.2
4700    2.500   1738.1      98.6        0.0         98.6
4800    2.500   1762.0      100.0       0.0         100.0
4900    2.500   1785.7      101.4       0.0         101.4
5000    2.500   1809.3      102.7       0.0         102.7
